Phase,Projects,Est. Cost
Construction underway or begins soon,"6,978","$37,673,884,219"
Construction begins within 4 years,"6,311","$35,223,300,375"
Construction begins in 5 to 10 years,"1,333","$39,005,211,695"
"Corridor Studies, construction in 10+ years","1,032","$71,446,740,116"
Totals,"15,654","$183,349,136,405"
